@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {tw.com.sstc.youbike, com.dropbox.android, com.android.mms, com.android.chrome, com.google.android.apps.maps, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, com.htc.usage, com.android.vending, com.tumblr, com.metago.astro, com.android.packageinstaller, com.google.android.apps.plus, com.google.android.googlequicksearchbox, com.android.htccontacts, com.android.systemui, android, com.google.android.keep, com.android.calculator2, com.google.android.gm, com.inventec.dreye.htc, com.google.android.calendar, com.htc.Weather, com.google.android.talk, com.android.phone, com.android.camera, com.htc.album, com.grooveshark.android.v1, com.thinkyeah.smartlockfree, jp.naver.line.android, com.facebook.pages.app, com.htc.android.worldclock, com.king.candycrushsaga, com.android.settings, com.htc.launcher, com.google.android.apps.blogger, com.android.providers.downloads.ui, com.thinkyeah.apphider, com.google.android.gms, com.csst.ecdict}
@data
2, 6, -1, ON_BICYCLE, com.android.phone
2, 6, 5, TILTING, com.android.htccontacts
2, 6, 4, TILTING, com.htc.launcher
2, 6, 4, TILTING, com.htc.launcher
2, 6, 4, TILTING, com.android.phone
2, 6, 4, TILTING, com.htc.launcher
2, 6, 4, TILTING, tw.com.sstc.youbike
2, 6, 4, TILTING, tw.com.sstc.youbike
3, 6, 4, TILTING, tw.com.sstc.youbike
3, 6, 4, TILTING, com.htc.launcher
3, 6, 4, UNKNOWN, tw.com.sstc.youbike
3, 6, 4, TILTING, com.htc.launcher
0, 6, 4, TILTING, com.htc.launcher
0, 6, 4, TILTING, com.htc.launcher
0, 6, 4, UNKNOWN, com.htc.launcher
0, 6, 4, TILTING, com.android.htccontacts
0, 6, 4, UNKNOWN, com.facebook.katana
0, 6, 4, TILTING, com.android.phone
1, 6, 4, STILL, com.android.htccontacts
1, 6, 4, TILTING, com.android.htccontacts
1, 6, 4, TILTING, com.htc.launcher
1, 6, -1, ON_FOOT, com.thinkyeah.smartlockfree
1, 6, -1, ON_FOOT, com.android.settings
1, 6, -1, ON_FOOT, com.android.chrome
1, 6, -1, ON_FOOT, com.htc.launcher
1, 6, 4, UNKNOWN, com.android.chrome
1, 6, 4, UNKNOWN, com.google.android.apps.maps
1, 6, 4, TILTING, com.google.android.apps.maps
1, 6, 4, UNKNOWN, com.google.android.keep
1, 6, 4, STILL, com.inventec.dreye.htc
1, 6, 4, STILL, com.google.android.keep
1, 6, 4, UNKNOWN, com.inventec.dreye.htc
1, 6, 4, STILL, com.google.android.keep
1, 6, 4, UNKNOWN, com.inventec.dreye.htc
1, 6, 4, UNKNOWN, com.google.android.keep
1, 6, 4, TILTING, com.android.systemui
1, 6, 4, UNKNOWN, com.google.android.keep
1, 6, 4, UNKNOWN, com.inventec.dreye.htc
1, 6, 4, TILTING, com.google.android.keep
1, 6, 4, UNKNOWN, com.inventec.dreye.htc
2, 6, 4, TILTING, com.google.android.keep
2, 6, 4, STILL, com.google.android.apps.maps
2, 6, 4, UNKNOWN, com.google.android.apps.maps
2, 6, 4, TILTING, com.google.android.apps.maps
2, 6, 4, UNKNOWN, com.htc.launcher
2, 6, 4, TILTING, com.htc.launcher
2, 6, 4, TILTING, com.android.camera
3, 6, 4, TILTING, com.android.mms
3, 6, 4, UNKNOWN, com.android.chrome
3, 6, -1, TILTING, com.htc.launcher
0, 6, -1, TILTING, com.android.camera
0, 6, -1, TILTING, com.android.camera
0, 6, 3, TILTING, com.android.camera
0, 6, 3, TILTING, com.htc.launcher
0, 6, 3, TILTING, com.android.camera
0, 6, 3, TILTING, com.android.camera
0, 6, 3, TILTING, com.android.camera
1, 6, 3, TILTING, com.htc.album
1, 6, 3, TILTING, com.android.camera
1, 6, 3, TILTING, com.htc.album
1, 6, 3, TILTING, com.android.camera
1, 6, 3, TILTING, com.htc.album
1, 6, 3, UNKNOWN, com.android.camera
1, 6, 3, TILTING, com.htc.album
1, 6, 3, TILTING, com.android.camera
1, 6, 1, TILTING, com.android.camera
1, 6, 1, TILTING, com.android.camera
2, 6, 8, TILTING, com.htc.launcher
3, 6, 8, UNKNOWN, com.htc.launcher
0, 6, 4, TILTING, com.htc.launcher
0, 6, 2, TILTING, com.htc.launcher
0, 6, 2, UNKNOWN, com.htc.launcher
1, 6, 2, TILTING, com.htc.launcher
1, 6, 2, TILTING, com.htc.launcher
1, 6, 2, STILL, com.facebook.katana
1, 6, 2, STILL, jp.naver.line.android
0, 7, 2, TILTING, jp.naver.line.android
0, 7, 2, STILL, com.facebook.katana
0, 7, 2, TILTING, com.facebook.katana
1, 7, 2, UNKNOWN, com.android.systemui
1, 7, 2, TILTING, com.htc.launcher
3, 7, 2, TILTING, com.htc.launcher
0, 7, 2, TILTING, com.tumblr
0, 7, 2, UNKNOWN, com.king.candycrushsaga
0, 7, 2, UNKNOWN, jp.naver.line.android
0, 7, 2, UNKNOWN, com.facebook.katana
0, 7, 2, TILTING, com.facebook.katana
0, 7, -1, ON_FOOT, com.android.phone
0, 7, -1, ON_FOOT, com.facebook.katana
1, 7, 2, TILTING, com.android.phone
1, 7, -1, ON_BICYCLE, com.facebook.katana
2, 7, 2, TILTING, com.facebook.katana
2, 7, -1, TILTING, com.android.camera
2, 7, -1, TILTING, com.htc.launcher
2, 7, -1, UNKNOWN, com.android.htccontacts
3, 7, -1, TILTING, com.htc.launcher
3, 7, -1, UNKNOWN, com.google.android.keep
0, 7, -1, TILTING, com.htc.launcher
0, 7, -1, UNKNOWN, com.google.android.apps.maps
0, 7, -1, TILTING, com.google.android.apps.maps
